Food Item,Region,Variation,Calories (kcal),Protein (mg),Total Carbs (mg),Total Fat (mg),Sugar (mg),Fiber (mg),Trans Fat (mg),Saturated Fat (mg),Cholesterol (mg),Iron (mg),Potassium (mg),Magnesium (mg),Zinc (mg),Sodium (mg),Calcium (mg),Vitamin C (mg),Vitamin B (complex) (mg),Ingredients,Alergens
Chicken Wings,Mumbai,Chicken,1250,115000,45000,85000,1000,2500,500,22000,385,5,800,90,7,1200,80,0,25,"  [""Chicken wings (250g)"", ""Salt (1 tsp)"", ""Black pepper (1/2 tsp)"", ""Garlic powder (1 tsp)"", ""Paprika (1 tsp)"", ""Soy sauce (1 tbsp)"", ""Hot sauce (1 tbsp)"", ""Olive oil (1 tbsp)""],","  [""Soy""],"
Chicken Wings,New York,Chicken,1250,115000,45000,85000,1000,2500,500,22000,385,5,800,90,7,1200,80,0,25,"  [""Chicken wings (250g)"", ""Salt (1 tsp)"", ""Black pepper (1/2 tsp)"", ""Garlic powder (1 tsp)"", ""Paprika (1 tsp)"", ""Soy sauce (1 tbsp)"", ""Hot sauce (1 tbsp)"", ""Olive oil (1 tbsp)""],","  [""Soy""],"
Chicken Wings,Chicago,Chicken,1250,115000,45000,85000,1000,2500,500,22000,385,5,800,90,7,1200,80,0,25,"  [""Chicken wings (250g)"", ""Salt (1 tsp)"", ""Black pepper (1/2 tsp)"", ""Garlic powder (1 tsp)"", ""Paprika (1 tsp)"", ""Soy sauce (1 tbsp)"", ""Hot sauce (1 tbsp)"", ""Olive oil (1 tbsp)""],","  [""Soy""],"
Coffee,Mumbai,Cappuccino,70,4000,6000,3500,6000,0,0,2000,15,0,200,20,1,60,150,0,1,"  [""Espresso (60ml)"", ""Steamed milk (120ml)"", ""Milk foam (60ml)"", ""Sugar (1 tsp, optional)"", ""Cocoa powder (for garnish, optional)""],","  [""Milk""],"
Coffee,New York,Americano,5,300,0,0,0,0,0,0,0,0,120,10,0,10,5,0,1,"  [""Espresso (60ml)"", ""Hot water (120ml)""],","  [],"
Coffee,Chicago,Frappuccino,350,5000,55000,13000,50000,500,100,8000,40,1,300,30,1,200,180,0,2,"  [""Brewed coffee (100ml)"", ""Milk (100ml)"", ""Ice cubes (1 cup)"", ""Sugar syrup (1 tbsp)"", ""Whipped cream (2 tbsp)"", ""Chocolate syrup (1 tbsp)""],","  [""Milk""],"
French Fries,Mumbai,Potato,450,5000,55000,24000,1000,5000,400,3500,0,2,800,50,1,350,30,20,3,"  [""Potatoes (200g)"", ""Vegetable oil (500ml for frying)"", ""Salt (1 tsp)"", ""Black pepper (1/4 tsp)"", ""Paprika (1/2 tsp, optional)""],","  [],"
French Fries,New York,Potato,450,5000,55000,24000,1000,5000,400,3500,0,2,800,50,1,350,30,20,3,"  [""Potatoes (200g)"", ""Vegetable oil (500ml for frying)"", ""Salt (1 tsp)"", ""Black pepper (1/4 tsp)"", ""Paprika (1/2 tsp, optional)""],","  [],"
French Fries,Chicago,Potato,450,5000,55000,24000,1000,5000,400,3500,0,2,800,50,1,350,30,20,3,"  [""Potatoes (200g)"", ""Vegetable oil (500ml for frying)"", ""Salt (1 tsp)"", ""Black pepper (1/4 tsp)"", ""Paprika (1/2 tsp, optional)""],","  [],"
Non Veg Burger,Mumbai,Chicken,450,28000,40000,19000,7000,3000,100,4000,80,3,500,45,2,800,120,5,12,"  [""Burger bun (1 pc)"", ""Grilled chicken patty (120g)"", ""Lettuce (2 leaves)"", ""Tomato slices (2)"", ""Cheddar cheese slice (1)"", ""Mayonnaise (1 tbsp)"", ""Ketchup (1 tbsp)"", ""Salt (1/4 tsp)"", ""Black pepper (1/4 tsp)""],","  [""Gluten"", ""Milk"", ""Egg""],"
